classification,arm,instrument,window,strategy_timeframe,direction,ipo_kind,ipo_origin_timestamp,ipo_open,ipo_high,ipo_low,ipo_close,ipo_zone_high,ipo_zone_low,ipo_midpoint,ipo_extent_invalidation,ipo_touch_timestamp,entry_timestamp,entry_price,s2_price,target_price,risk_price,bos_required,bos_confirmed_before_entry,bos_timestamp,bos_structural_level,bos_direction,bars_origin_to_bos,bars_bos_to_entry,one_minute_ordering_used,one_minute_entry_timestamp,one_minute_target_timestamp,one_minute_s2_ordering,exit_timestamp,exit_price,exit_reason,realized_r,cost_r,mae_r,mfe_r,excluded_from_stats,ambiguity
BOS_RETAINED,BOS_REQUIRED,EUR/USD,EURUSD_2025-01-01,1h,demand,bullish_IPO_demand,2025-01-02T19:00:00Z,1.02566,1.02603,1.02476,1.02511,1.02603,1.025395,1.025395,1.02476,2025-01-10T15:00:00Z,2025-01-10T15:00:00Z,1.025395,1.02476,1.0266650000000004,0.0006350000000001632,true,true,2025-01-07T10:00:00Z,1.04278,bullish,63,77,NO,,,,2025-01-10T15:00:00Z,1.0266650000000004,TARGET,1.748031496063057,0.25196850393694314,2.8267716535425667,3.9606299212588953,false,SAME_BAR_ENTRY_AND_EXIT
BOS_RETAINED,BOS_REQUIRED,EUR/USD,EURUSD_2025-01-01,1h,supply,bearish_IPO_supply,2025-01-09T08:00:00Z,1.029115,1.03083,1.02834,1.030777,1.029585,1.02834,1.029585,1.03083,2025-01-14T15:00:00Z,2025-01-14T15:00:00Z,1.029585,1.03083,1.027095,0.0012449999999999406,true,true,2025-01-13T09:00:00Z,1.019348,bearish,49,30,NO,,,,2025-01-14T15:00:00Z,1.027095,TARGET,1.8714859437750944,0.12851405622490575,0.02008032128509472,2.6546184738956216,false,SAME_BAR_ENTRY_AND_EXIT
BOS_RETAINED,BOS_REQUIRED,EUR/USD,EURUSD_2025-01-01,1h,supply,bearish_IPO_supply,2025-01-09T13:00:00Z,1.03034,1.03196,1.03006,1.03079,1.03101,1.03006,1.03101,1.03196,2025-01-14T22:00:00Z,2025-01-14T22:00:00Z,1.03101,1.03196,1.02911,0.0009500000000000064,true,true,2025-01-13T09:00:00Z,1.019348,bearish,44,37,NO,,,,2025-01-15T07:00:00Z,1.02911,TARGET,1.831578947368422,0.16842105263157783,0.08421052631587313,2.484210526315686,false,
BOS_RETAINED,BOS_REQUIRED,EUR/USD,EURUSD_2025-01-01,1h,supply,bearish_IPO_supply,2025-01-09T13:00:00Z,1.03034,1.03196,1.03006,1.03079,1.03101,1.03006,1.03101,1.03196,2025-01-15T09:00:00Z,2025-01-15T09:00:00Z,1.03101,1.03196,1.02911,0.0009500000000000064,true,true,2025-01-13T09:00:00Z,1.019348,bearish,44,48,NO,,,,2025-01-15T13:00:00Z,1.03446,S2_CLOSE_INVALIDATION,-3.7999999999999248,0.16842105263157783,4.715789473684221,1.7789473684210084,false,
BOS_RETAINED,BOS_REQUIRED,EUR/USD,EURUSD_2025-01-01,1h,demand,bullish_IPO_demand,2025-01-14T17:00:00Z,1.029143,1.02919,1.02787,1.02883,1.02919,1.02853,1.02853,1.02787,2025-01-15T16:00:00Z,2025-01-15T16:00:00Z,1.02853,1.02787,1.0298499999999997,0.0006599999999998829,true,true,2025-01-14T22:00:00Z,1.03069,bullish,5,18,NO,,,,2025-01-15T16:00:00Z,1.0298499999999997,TARGET,1.7575757575757145,0.24242424242428545,4.075757575758085,3.4696969696977753,false,SAME_BAR_ENTRY_AND_EXIT
BOS_RETAINED,BOS_REQUIRED,EUR/USD,EURUSD_2025-01-01,1h,demand,bullish_IPO_demand,2025-01-14T17:00:00Z,1.029143,1.02919,1.02787,1.02883,1.02919,1.02853,1.02853,1.02787,2025-01-15T18:00:00Z,2025-01-15T18:00:00Z,1.02853,1.02787,1.0298499999999997,0.0006599999999998829,true,true,2025-01-15T13:00:00Z,1.03446,bullish,20,5,NO,,,,2025-01-15T20:00:00Z,1.0298499999999997,TARGET,1.7575757575757145,0.24242424242428545,0.1515151515151617,2.1212121212126003,false,
BOS_RETAINED,BOS_REQUIRED,EUR/USD,EURUSD_2025-01-01,1h,demand,bullish_IPO_demand,2025-01-14T17:00:00Z,1.029143,1.02919,1.02787,1.02883,1.02919,1.02853,1.02853,1.02787,2025-01-15T22:00:00Z,2025-01-15T22:00:00Z,1.02853,1.02787,1.0298499999999997,0.0006599999999998829,true,true,2025-01-15T13:00:00Z,1.03446,bullish,20,9,NO,,,,2025-01-16T00:00:00Z,1.0298499999999997,TARGET,1.7575757575757145,0.24242424242428545,0.10606060606064684,2.272727272727762,false,
BOS_RETAINED,BOS_REQUIRED,EUR/USD,EURUSD_2025-01-01,1h,demand,bullish_IPO_demand,2025-01-14T17:00:00Z,1.029143,1.02919,1.02787,1.02883,1.02919,1.02853,1.02853,1.02787,2025-01-16T02:00:00Z,2025-01-16T02:00:00Z,1.02853,1.02787,1.0298499999999997,0.0006599999999998829,true,true,2025-01-15T13:00:00Z,1.03446,bullish,20,13,NO,,,,2025-01-16T07:00:00Z,1.0298499999999997,TARGET,1.7575757575757145,0.24242424242428545,0.6818181818180595,2.5303030303035707,false,
BOS_RETAINED,BOS_REQUIRED,EUR/USD,EURUSD_2025-01-01,1h,demand,bullish_IPO_demand,2025-01-14T17:00:00Z,1.029143,1.02919,1.02787,1.02883,1.02919,1.02853,1.02853,1.02787,2025-01-16T10:00:00Z,2025-01-16T10:00:00Z,1.02853,1.02787,1.0298499999999997,0.0006599999999998829,true,true,2025-01-15T13:00:00Z,1.03446,bullish,20,21,NO,,,,2025-01-16T12:00:00Z,1.02719,S2_CLOSE_INVALIDATION,-2.2727272727275194,0.24242424242428545,3.2424242424248644,1.696969696970013,false,
BOS_RETAINED,BOS_REQUIRED,EUR/USD,EURUSD_2025-01-01,1h,supply,bearish_IPO_supply,2025-01-06T11:00:00Z,1.033517,1.04333,1.03285,1.04218,1.03809,1.03285,1.03809,1.04333,2025-01-20T13:00:00Z,2025-01-20T13:00:00Z,1.03809,1.04333,1.0276099999999997,0.0052400000000001334,true,true,2025-01-17T07:00:00Z,1.02846,bearish,212,29,NO,,,,2025-01-22T09:00:00Z,1.04467,S2_CLOSE_INVALIDATION,-1.2862595419847058,0.030534351145037393,1.276717557251892,1.3893129770991923,false,
