arm,instrument,ipo_timeframe,window,direction,ipo_origin_time,ipo_open,ipo_high,ipo_low,ipo_close,zone_high,zone_low,midpoint,touch_time,entry_time,entry_price,s2_price,target_price,risk_price,m1_entry_time,m1_target_time,s2_invalidation_time,exit_time,exit_price,exit_reason,gross_r,cost_r,net_r,ordering_resolution,ambiguity_detail,frozen_engine_reason,precedence_disagreement,mae_r,mfe_r,bars_to_exit,holding_minutes,blocked_by,excluded_from_stats
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,demand,2022-06-17T12:00:00Z,1.0488,1.0508,1.0445,1.0474,1.0508,1.04765,1.04765,2022-06-29T12:00:00Z,2022-06-29T12:00:00Z,1.04765,1.0445,1.05395,0.003149999999999986,2022-06-29T13:47:00Z,,2022-06-29T16:00:00Z,2022-06-29T16:00:00Z,1.0441,S2_CLOSE_INVALIDATION,-1.1269841269841137,0.05079365079365102,-1.1777777777777647,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,1.317460317460284,1.6666666666666667,1,133,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2025-04-01,demand,2024-11-25T20:00:00Z,1.05055,1.05099,1.04424,1.044388,1.05099,1.047615,1.047615,2024-12-12T12:00:00Z,2024-12-12T12:00:00Z,1.047615,1.04424,1.0543649999999998,0.003374999999999906,2024-12-12T13:17:00Z,,2024-12-18T16:00:00Z,2024-12-18T16:00:00Z,1.03774,S2_CLOSE_INVALIDATION,-2.925925925925965,0.04740740740740873,-2.973333333333374,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,3.056296296296338,1.743703703703794,26,8803,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2025-04-01,supply,2024-12-20T16:00:00Z,1.039683,1.04479,1.03957,1.044482,1.04218,1.03957,1.04218,2024-12-26T16:00:00Z,2024-12-26T16:00:00Z,1.04218,1.04479,1.03696,0.002610000000000001,2024-12-26T16:57:00Z,,2024-12-30T08:00:00Z,2024-12-30T08:00:00Z,1.044808,S2_CLOSE_INVALIDATION,-1.006896551724081,0.06130268199233714,-1.0681992337164183,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,1.1839080459769402,0.6551724137931416,11,5223,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2025-04-01,supply,2024-12-30T08:00:00Z,1.042645,1.04527,1.04091,1.044808,1.0430899999999999,1.04091,1.0430899999999999,2025-01-06T08:00:00Z,2025-01-06T08:00:00Z,1.0430899999999999,1.04527,1.0387299999999997,0.0021800000000000708,2025-01-06T11:33:00Z,2025-01-06T14:15:00Z,2025-01-24T04:00:00Z,2025-01-06T14:15:00Z,1.0387299999999997,TARGET,2,0.07339449541284165,1.9266055045871584,1M_RESOLVED,,TARGET,false,0.11009174311937259,4.793577981651151,0,162,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2025-04-01,supply,2025-01-09T08:00:00Z,1.029115,1.03181,1.02834,1.030117,1.030075,1.02834,1.030075,2025-01-16T04:00:00Z,2025-01-16T04:00:00Z,1.030075,1.03181,1.0266050000000004,0.00173499999999982,2025-01-16T07:37:00Z,2025-01-16T12:43:00Z,2025-01-20T08:00:00Z,2025-01-16T12:43:00Z,1.0266050000000004,TARGET,2,0.09221902017292023,1.9077809798270797,1M_RESOLVED,,TARGET,false,0.3141210374640197,2.319884726225121,2,306,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2025-04-01,supply,2025-01-09T08:00:00Z,1.029115,1.03181,1.02834,1.030117,1.030075,1.02834,1.030075,2025-01-16T20:00:00Z,2025-01-16T20:00:00Z,1.030075,1.03181,1.0266050000000004,0.00173499999999982,2025-01-16T20:00:00Z,2025-01-17T14:21:00Z,2025-01-20T08:00:00Z,2025-01-17T14:21:00Z,1.0266050000000004,TARGET,2,0.09221902017292023,1.9077809798270797,1M_RESOLVED,,TARGET,false,1.743515850144177,2.0605187319887475,4,1101,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2025-04-01,supply,2025-01-09T08:00:00Z,1.029115,1.03181,1.02834,1.030117,1.030075,1.02834,1.030075,2025-01-20T00:00:00Z,2025-01-20T00:00:00Z,1.030075,1.03181,1.0266050000000004,0.00173499999999982,2025-01-20T03:31:00Z,,2025-01-20T08:00:00Z,2025-01-20T08:00:00Z,1.0326,S2_CLOSE_INVALIDATION,-1.455331412103833,0.09221902017292023,-1.5475504322767533,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,1.5014409221903393,1.311239193083725,2,269,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2025-04-01,supply,2025-01-06T08:00:00Z,1.032745,1.04333,1.03264,1.04218,1.037985,1.03264,1.037985,2025-01-20T16:00:00Z,2025-01-20T16:00:00Z,1.037985,1.04333,1.0272949999999996,0.005345000000000155,2025-01-20T16:00:00Z,,2025-01-22T08:00:00Z,2025-01-22T08:00:00Z,1.04429,S2_CLOSE_INVALIDATION,-1.179607109448049,0.029934518241346186,-1.209541627689395,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,1.4583723105705837,0.7137511693170797,10,2400,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2025-04-01,supply,2024-12-30T08:00:00Z,1.042645,1.04527,1.04091,1.044808,1.0430899999999999,1.04091,1.0430899999999999,2025-01-22T12:00:00Z,2025-01-22T12:00:00Z,1.0430899999999999,1.04527,1.0387299999999997,0.0021800000000000708,2025-01-22T12:00:00Z,2025-01-23T15:23:00Z,2025-01-24T04:00:00Z,2025-01-23T15:23:00Z,1.0387299999999997,TARGET,2,0.07339449541284165,1.9266055045871584,1M_RESOLVED,,TARGET,false,0.7018348623854146,2.0229357798163576,6,1643,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2025-04-01,supply,2024-12-16T00:00:00Z,1.050943,1.05234,1.05089,1.051192,1.051615,1.05089,1.051615,2025-01-24T16:00:00Z,2025-01-24T16:00:00Z,1.051615,1.05234,1.0501649999999998,0.0007250000000000867,2025-01-24T16:00:00Z,2025-01-24T18:22:00Z,2025-03-04T08:00:00Z,2025-01-24T18:22:00Z,1.0501649999999998,TARGET,2,0.22068965517238742,1.7793103448276126,1M_RESOLVED,,TARGET,false,0.7931034482757564,3.3586206896547224,0,142,,false
